team,abbreviation,team_im
Atlanta Hawks,ATL,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/ATL.png
Boston Celtics,BOS,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/BOS.png
Brooklyn Nets,BRK,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/NJN.png
Charlotte Hornets,CHO,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/CHA.png
Chicago Bulls,CHI,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/CHI.png
Cleveland Cavaliers,CLE,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/CLE.png
Dallas Mavericks,DAL,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/DAL.png
Denver Nuggets,DEN,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/DEN.png
Detroit Pistons,DET,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/DET.png
Golden State Warriors,GSW,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/GSW.png
Houston Rockets,HOU,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/HOU.png
Indiana Pacers,IND,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/IND.png
Los Angeles Clippers,LAC,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/LAC.png
Los Angeles Lakers,LAL,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/LAL.png
Memphis Grizzlies,MEM,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/MEM.png
Miami Heat,MIA,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/MIA.png
Milwaukee Bucks,MIL,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/MIL.png
Minnesota Timberwolves,MIN,https://d2p3bygnnzw9w3.cloudfront.net/req/202203311/tlogo/bbr/MIN.png
